latitude,longitude,depth,datetime,magnitude,event_id
-15.51,-175.0,12,2011-05-17T10:35:30,5.69,20110517_103530.a
-9.53,112.69,41,2011-05-17T00:15:01,5.66,20110517_001501.a
-6.22,154.44,53,2011-05-15T18:37:17,6.46,20110515_183717.a
0.87,-25.62,13,2011-05-15T13:08:22,6.07,20110515_130822.a
37.31,141.67,41,2011-05-13T23:35:56,6.08,20110513_233556.a
10.01,-84.31,85,2011-05-13T22:47:59,5.97,20110513_224759.a
-59.64,-151.31,15,2011-05-13T03:36:54,5.67,20110513_033654.a
-20.4,168.23,12,2011-05-11T08:19:38,5.56,20110511_081938.a
-20.51,168.39,22,2011-05-10T10:24:22,5.91,20110510_102422.a
-20.29,168.15,18,2011-05-10T08:55:17,6.79,20110510_085517.a
37.85,143.67,13,2011-05-09T20:15:56,5.62,20110509_201556.a
5.33,126.68,32,2011-05-09T19:13:28,5.67,20110509_191328.a
-56.74,147.32,12,2011-05-09T18:54:46,5.92,20110509_185446.a
40.29,142.53,42,2011-05-07T20:52:23,5.75,20110507_205223.a
54.79,-160.34,56,2011-05-05T16:57:40,5.84,20110505_165740.a
38.24,144.17,14,2011-05-05T14:58:22,6.06,20110505_145822.a
54.86,-160.22,55,2011-05-05T14:13:03,5.71,20110505_141303.a
16.85,-98.72,31,2011-05-05T13:24:08,5.7,20110505_132408.a
11.9,-87.95,32,2011-05-02T23:55:43,5.55,20110502_235543.a
-7.16,155.76,54,2011-05-01T16:12:46,5.81,20110501_161246.a
6.88,-82.39,21,2011-04-30T08:19:22,6.18,20110430_081922.a
-3.2,148.67,15,2011-04-30T05:45:40,5.74,20110430_054540.a
10.4,-103.72,15,2011-04-28T13:07:46,5.8,20110428_130746.a
37.5,141.85,43,2011-04-28T09:27:49,5.58,20110428_092749.a
-10.23,160.45,12,2011-04-28T07:42:36,5.62,20110428_074236.a
-4.27,122.8,15,2011-04-24T23:07:54,6.12,20110424_230754.a
-35.47,-16.82,20,2011-04-24T22:44:22,5.56,20110424_224422.a
-35.49,-16.93,18,2011-04-24T21:09:38,5.65,20110424_210938.a
39.21,142.91,30,2011-04-23T10:12:48,5.96,20110423_101248.a
-10.47,161.32,77,2011-04-23T04:17:00,6.82,20110423_041700.a
-22.9,-174.18,13,2011-04-22T17:14:54,5.52,20110422_171454.a
37.55,141.49,54,2011-04-21T16:11:20,5.62,20110421_161120.a
35.56,140.78,42,2011-04-21T13:37:07,6.18,20110421_133707.a
40.33,143.87,15,2011-04-21T01:54:45,5.83,20110421_015445.a
40.3,143.85,15,2011-04-21T00:39:07,5.66,20110421_003907.a
-34.4,-179.83,100,2011-04-18T13:03:07,6.53,20110418_130307.a
36.4,140.0,81,2011-04-16T02:19:33,5.77,20110416_021933.a
-15.07,-172.97,30,2011-04-15T02:06:34,5.83,20110415_020634.a
10.85,-86.81,34,2011-04-14T20:50:18,5.7,20110414_205018.a
35.5,142.25,12,2011-04-14T06:08:51,5.63,20110414_060851.a
39.63,143.59,15,2011-04-13T19:57:29,6.04,20110413_195729.a
39.39,142.13,52,2011-04-12T19:37:51,5.61,20110412_193751.a
37.08,140.63,18,2011-04-12T05:07:45,5.93,20110412_050745.a
35.42,140.85,16,2011-04-11T23:08:19,6.21,20110411_230819.a
37.0,140.54,12,2011-04-11T08:16:19,6.65,20110411_081619.a
30.04,131.84,12,2011-04-09T12:57:50,5.98,20110409_125750.a
17.22,-85.17,15,2011-04-07T20:41:58,5.87,20110407_204158.a
38.32,141.85,53,2011-04-07T14:32:50,7.11,20110407_143250.a
1.4,96.82,24,2011-04-06T14:01:46,5.86,20110406_140146.a
3.06,127.24,15,2011-04-05T11:14:18,5.84,20110405_111418.a
3.11,127.14,14,2011-04-05T07:46:22,5.58,20110405_074622.a
-10.1,107.72,21,2011-04-03T20:06:50,6.73,20110403_200650.a
-19.75,-69.51,118,2011-04-02T10:59:42,5.86,20110402_105942.a
40.27,143.54,22,2011-04-01T17:03:50,5.58,20110401_170350.a
35.49,26.67,76,2011-04-01T13:29:12,6.14,20110401_132912.a
39.38,142.17,48,2011-04-01T11:57:57,5.94,20110401_115757.a
38.97,142.05,50,2011-03-31T07:15:33,6.04,20110331_071533.a
-16.54,-177.34,15,2011-03-31T00:12:02,6.35,20110331_001202.a
36.09,142.63,12,2011-03-30T05:29:54,5.75,20110330_052954.a
37.47,142.37,18,2011-03-29T10:54:36,6.2,20110329_105436.a
38.4,142.09,22,2011-03-27T22:24:01,6.24,20110327_222401.a
14.34,-92.93,29,2011-03-27T06:20:56,5.7,20110327_062056.a
-15.79,-179.26,12,2011-03-26T22:49:45,6.04,20110326_224945.a
38.78,142.17,46,2011-03-25T11:36:27,6.21,20110325_113627.a
20.61,99.9,14,2011-03-24T15:54:35,5.67,20110324_155435.a
20.62,100.02,13,2011-03-24T13:55:17,6.84,20110324_135517.a
39.08,142.34,37,2011-03-24T08:21:03,5.93,20110324_082103.a
37.09,140.76,12,2011-03-22T22:12:32,5.68,20110322_221232.a
35.88,141.56,15,2011-03-22T15:03:49,5.63,20110322_150349.a
35.77,141.66,19,2011-03-22T13:50:56,5.82,20110322_135056.a
-33.11,-15.74,12,2011-03-22T13:31:33,5.91,20110322_133133.a
